Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NCC","NCC GROUP PLC","IT","Aktien","268.879,24","0,01","268.879,24","199.183,00","1,35","Vereinigtes Königreich","London Stock Exchange","GBP"
"PHM","PHARMA MAR SA","Gesundheitsversorgung","Aktien","268.478,14","0,01","268.478,14","6.454,00","41,60","Spanien","Bolsa De Madrid","EUR"
"CAF","CONSTRUCCIONES Y AUXILIAR DE FERRO","Industrie","Aktien","268.106,46","0,01","268.106,46","8.627,00","31,08","Spanien","Bolsa De Madrid","EUR"
"HOME","NEINOR HOMES SA","Zyklische Konsumgüter ","Aktien","267.042,43","0,01","267.042,43","26.378,00","10,12","Spanien","Bolsa De Madrid","EUR"
"6807","JAPAN AVIATION ELECTRONICS INDUSTR","IT","Aktien","266.863,73","0,01","266.863,73","15.300,00","17,44","Japan","Tokyo Stock Exchange","JPY"
"PEUG","PEUGEOT INVEST SA","Financials","Aktien","266.276,85","0,01","266.276,85","2.169,00","122,76","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"4617","CHUGOKU MARINE PAINTS LTD","Materialien","Aktien","266.077,19","0,01","266.077,19","30.600,00","8,70","Japan","Tokyo Stock Exchange","JPY"
"3863","NIPPON PAPER INDUSTRIES LTD","Materialien","Aktien","265.278,16","0,01","265.278,16","33.200,00","7,99","Japan","Tokyo Stock Exchange","JPY"
"VVX","V2X INC","Industrie","Aktien","265.507,20","0,01","265.507,20","6.146,00","43,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"5715","FURUKAWA LTD","Industrie","Aktien","264.722,95","0,01","264.722,95","26.900,00","9,84","Japan","Tokyo Stock Exchange","JPY"
"HCI","HCI GROUP INC","Financials","Aktien","264.901,14","0,01","264.901,14","5.229,00","50,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"STC","STEWART INFO SERVICES CORP","Financials","Aktien","263.519,55","0,01","263.519,55","6.327,00","41,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8368","HYAKUGO BANK LTD","Financials","Aktien","263.030,88","0,01","263.030,88","91.600,00","2,87","Japan","Tokyo Stock Exchange","JPY"
"PGRE","PARAMOUNT GROUP REIT INC","Immobilien","Aktien","262.545,22","0,01","262.545,22","60.634,00","4,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ESTE","EARTHSTONE ENERGY INC CLASS A","Energie","Aktien","262.562,28","0,01","262.562,28","19.363,00","13,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PNV","POLYNOVO LTD","Gesundheitsversorgung","Aktien","262.183,72","0,01","262.183,72","243.397,00","1,08","Australien","Asx - All Markets","AUD"
"GDOT","GREEN DOT CORP CLASS A","Financials","Aktien","261.339,57","0,01","261.339,57","15.203,00","17,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LPRO","OPEN LENDING CORP CLASS A","Financials","Aktien","261.094,20","0,01","261.094,20","37.140,00","7,03","Vereinigte Staaten","NASDAQ","USD"
"BOE","BOSS ENERGY LTD","Energie","Aktien","260.168,27","0,01","260.168,27","149.691,00","1,74","Australien","Asx - All Markets","AUD"
"RPAY","REPAY HOLDINGS CORP CLASS A","Financials","Aktien","260.255,16","0,01","260.255,16","41.508,00","6,27","Vereinigte Staaten","NASDAQ","USD"
"4686","JUSTSYSTEMS CORP","IT","Aktien","260.287,15","0,01","260.287,15","9.900,00","26,29","Japan","Tokyo Stock Exchange","JPY"
"SPHR","SPHERE ENTERTAINMENT CLASS A","Kommunikation","Aktien","260.041,74","0,01","260.041,74","9.241,00","28,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4812","INFORMATION SERVICES INTERNATIONAL","IT","Aktien","259.501,34","0,01","259.501,34","7.400,00","35,07","Japan","Tokyo Stock Exchange","JPY"
"MXCT","MAXCYTE INC","Gesundheitsversorgung","Aktien","256.480,00","0,01","256.480,00","51.296,00","5,00","Vereinigte Staaten","NASDAQ","USD"
"CVGW","CALAVO GROWERS INC","Nichtzyklische Konsumgüter","Aktien","256.542,92","0,01","256.542,92","8.027,00","31,96","Vereinigte Staaten","NASDAQ","USD"
"OX2","OX2","Industrie","Aktien","256.001,95","0,01","256.001,95","33.155,00","7,72","Schweden","Nasdaq Omx Nordic","SEK"
"GCO","GENESCO INC","Zyklische Konsumgüter ","Aktien","256.068,08","0,01","256.068,08","7.388,00","34,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HLAN","HILAN LTD","IT","Aktien","255.363,86","0,01","255.363,86","5.793,00","44,08","Israel","Tel Aviv Stock Exchange","ILS"
